timestamp,baseline,pressure,edge,,,,,
31727.22,1.776,1.778,0,,,,Genitalia,penis
31727.27,1.776,1.778,0,,,,stimulation,hand
31727.33,1.776,1.778,0,,,,,
31727.38,1.776,1.778,0,,,,,
31727.43,1.776,1.778,0,,,,,
31727.49,1.776,1.78,0,,,,,
31727.54,1.776,1.782,0,,,,,
31727.59,1.776,1.784,0,,,,,
31727.65,1.776,1.786,0,,,,,
31727.7,1.776,1.786,0,,,,,
31727.75,1.776,1.79,0,,,,,
31727.81,1.776,1.792,0,,,,,
31727.86,1.776,1.8,0,,,,,
31727.91,1.776,1.806,0,,,,,
31727.97,1.776,1.81,0,,,,,
31728.02,1.776,1.816,0,,,,,
31728.07,1.776,1.82,0,,,,,
31728.13,1.776,1.822,0,,,,,
31728.18,1.776,1.824,0,,,,,
31728.23,1.776,1.824,0,,,,,
31728.29,1.776,1.826,0,,,,,
31728.34,1.776,1.826,0,,,,,
31728.39,1.776,1.824,0,,,,,
31728.45,1.776,1.82,0,,,,,
31728.5,1.776,1.818,0,,,,,
31728.55,1.776,1.814,0,,,,,
31728.61,1.776,1.81,0,,,,,
31728.66,1.776,1.804,0,,,,,
31728.71,1.776,1.8,0,,,,,
31728.77,1.776,1.796,0,,,,,
31728.82,1.776,1.794,0,,,,,
31728.87,1.776,1.792,0,,,,,
31728.93,1.776,1.79,0,,,,,
31728.98,1.776,1.788,0,,,,,
31729.03,1.776,1.788,0,,,,,
31729.09,1.776,1.786,0,,,,,
31729.14,1.776,1.786,0,,,,,
31729.19,1.776,1.784,0,,,,,
31729.25,1.776,1.784,0,,,,,
31729.3,1.776,1.784,0,,,,,
31729.35,1.776,1.786,0,,,,,
31729.41,1.776,1.79,0,,,,,
31729.46,1.776,1.796,0,,,,,
31729.51,1.776,1.8,0,,,,,
31729.57,1.776,1.804,0,,,,,
31729.62,1.776,1.812,0,,,,,
31729.67,1.776,1.818,0,,,,,
31729.73,1.776,1.822,0,,,,,
31729.78,1.776,1.826,0,,,,,
31729.83,1.776,1.828,0,,,,,
31729.89,1.776,1.826,0,,,,,
31729.94,1.776,1.822,0,,,,,
31730,1.776,1.818,0,,,,,
31730.05,1.776,1.812,0,,,,,
31730.1,1.776,1.808,0,,,,,
31730.16,1.776,1.804,0,,,,,
31730.21,1.776,1.8,0,,,,,
31730.26,1.776,1.796,0,,,,,
31730.32,1.776,1.794,0,,,,,
31730.37,1.776,1.792,0,,,,,
31730.42,1.776,1.794,0,,,,,
31730.48,1.776,1.792,0,,,,,
31730.53,1.776,1.79,0,,,,,
31730.58,1.776,1.79,0,,,,,
31730.64,1.776,1.79,0,,,,,
31730.69,1.776,1.788,0,,,,,
31730.74,1.776,1.788,0,,,,,
31730.8,1.776,1.788,0,,,,,
31730.85,1.776,1.788,0,,,,,
31730.9,1.776,1.786,0,,,,,
31730.96,1.776,1.786,0,,,,,
31731.01,1.776,1.788,0,,,,,
31731.06,1.776,1.79,0,,,,,
31731.12,1.776,1.788,0,,,,,
31731.17,1.776,1.788,0,,,,,
31731.22,1.776,1.788,0,,,,,
31731.28,1.776,1.786,0,,,,,
31731.33,1.776,1.786,0,,,,,
31731.38,1.776,1.784,0,,,,,
31731.44,1.776,1.784,0,,,,,
31731.49,1.776,1.784,0,,,,,
31731.54,1.776,1.784,0,,,,,
31731.6,1.776,1.784,0,,,,,
31731.65,1.776,1.784,0,,,,,
31731.7,1.776,1.782,0,,,,,
31731.76,1.776,1.782,0,,,,,
31731.81,1.776,1.782,0,,,,,
31731.86,1.776,1.782,0,,,,,
31731.92,1.776,1.784,0,,,,,
31731.97,1.776,1.784,0,,,,,
31732.02,1.776,1.784,0,,,,,
31732.08,1.776,1.784,0,,,,,
31732.13,1.776,1.782,0,,,,,
31732.18,1.776,1.782,0,,,,,
31732.24,1.776,1.782,0,,,,,
31732.29,1.776,1.78,0,,,,,
31732.34,1.776,1.78,0,,,,,
31732.4,1.776,1.78,0,,,,,
31732.45,1.776,1.78,0,,,,,
31732.5,1.776,1.78,0,,,,,
31732.56,1.776,1.782,0,,,,,
31732.61,1.776,1.784,0,,,,,
31732.66,1.776,1.784,0,,,,,
31732.72,1.776,1.784,0,,,,,
31732.77,1.776,1.784,0,,,,,
31732.82,1.776,1.784,0,,,,,
31732.88,1.776,1.784,0,,,,,
31732.93,1.776,1.784,0,,,,,
31732.98,1.776,1.784,0,,,,,
31733.04,1.776,1.784,0,,,,,
31733.09,1.776,1.786,0,,,,,
31733.14,1.776,1.788,0,,,,,
31733.2,1.776,1.79,0,,,,,
31733.25,1.776,1.79,0,,,,,
31733.3,1.776,1.792,0,,,,,
31733.36,1.776,1.79,0,,,,,
31733.41,1.776,1.79,0,,,,,
31733.46,1.776,1.79,0,,,,,
31733.52,1.776,1.788,0,,,,,
31733.57,1.776,1.788,0,,,,,
31733.63,1.776,1.788,0,,,,,
31733.68,1.776,1.79,0,,,,,
31733.73,1.776,1.794,0,,,,,
31733.79,1.776,1.798,0,,,,,
31733.84,1.776,1.802,0,,,,,
31733.89,1.776,1.802,0,,,,,
31733.95,1.776,1.804,0,,,,,
31734,1.776,1.806,0,,,,,
31734.05,1.776,1.804,0,,,,,
31734.11,1.776,1.804,0,,,,,
31734.16,1.776,1.802,0,,,,,
31734.21,1.776,1.806,0,,,,,
31734.27,1.776,1.808,0,,,,,
31734.32,1.776,1.806,0,,,,,
31734.37,1.776,1.804,0,,,,,
31734.43,1.776,1.806,0,,,,,
31734.48,1.776,1.808,0,,,,,
31734.53,1.776,1.814,0,,,,,
31734.59,1.776,1.826,0,,,,,
31734.64,1.776,1.84,0,,,,,
31734.69,1.776,1.854,0,,,,,
31734.75,1.776,1.862,0,,,,,
31734.8,1.776,1.862,0,,,,,
31734.85,1.776,1.856,0,,,,,
31734.91,1.776,1.842,0,,,,,
31734.96,1.776,1.828,0,,,,,
31735.01,1.776,1.82,0,,,,,
31735.07,1.776,1.816,0,,,,,
31735.12,1.776,1.814,0,,,,,
31735.17,1.776,1.808,0,,,,,
31735.23,1.776,1.802,0,,,,,
31735.28,1.776,1.798,0,,,,,
31735.33,1.776,1.794,0,,,,,
31735.39,1.776,1.79,0,,,,,
31735.44,1.776,1.788,0,,,,,
31735.49,1.776,1.788,0,,,,,
31735.55,1.776,1.788,0,,,,,
31735.6,1.776,1.788,0,,,,,
31735.65,1.776,1.788,0,,,,,
31735.71,1.776,1.786,0,,,,,
31735.76,1.776,1.786,0,,,,,
31735.81,1.776,1.786,0,,,,,
31735.87,1.776,1.792,0,,,,,
31735.92,1.776,1.796,0,,,,,
31735.97,1.776,1.794,0,,,,,
31736.03,1.776,1.792,0,,,,,
31736.08,1.776,1.79,0,,,,,
31736.13,1.776,1.788,0,,,,,
31736.19,1.776,1.786,0,,,,,
31736.24,1.776,1.786,0,,,,,
31736.29,1.776,1.786,0,,,,,
31736.35,1.776,1.788,0,,,,,
31736.4,1.776,1.788,0,,,,,
31736.45,1.776,1.786,0,,,,,
31736.51,1.776,1.786,0,,,,,
31736.56,1.776,1.786,0,,,,,
31736.61,1.776,1.786,0,,,,,
31736.67,1.776,1.788,0,,,,,
31736.72,1.776,1.788,0,,,,,
31736.77,1.776,1.788,0,,,,,
31736.83,1.776,1.786,0,,,,,
31736.88,1.776,1.784,0,,,,,
31736.94,1.776,1.782,0,,,,,
31736.99,1.776,1.782,0,,,,,
31737.04,1.776,1.782,0,,,,,
31737.1,1.776,1.78,0,,,,,
31737.15,1.776,1.78,0,,,,,
31737.2,1.776,1.782,0,,,,,
31737.26,1.776,1.784,0,,,,,
31737.31,1.776,1.784,0,,,,,
31737.36,1.776,1.784,0,,,,,
31737.42,1.776,1.782,0,,,,,
31737.47,1.776,1.784,0,,,,,
31737.52,1.776,1.786,0,,,,,
31737.58,1.776,1.786,0,,,,,
31737.63,1.776,1.786,0,,,,,
31737.68,1.776,1.784,0,,,,,
31737.74,1.776,1.782,0,,,,,
31737.79,1.776,1.782,0,,,,,
31737.84,1.776,1.78,0,,,,,
31737.9,1.776,1.782,0,,,,,
31737.95,1.776,1.784,0,,,,,
31738,1.776,1.786,0,,,,,
31738.06,1.776,1.786,0,,,,,
31738.11,1.776,1.786,0,,,,,
31738.16,1.776,1.788,0,,,,,
31738.22,1.776,1.79,0,,,,,
31738.27,1.776,1.788,0,,,,,
31738.32,1.776,1.788,0,,,,,
31738.38,1.776,1.786,0,,,,,
31738.43,1.776,1.784,0,,,,,
31738.48,1.776,1.784,0,,,,,
31738.54,1.776,1.782,0,,,,,
31738.59,1.776,1.784,0,,,,,
31738.64,1.776,1.784,0,,,,,
31738.7,1.776,1.786,0,,,,,
31738.75,1.776,1.788,0,,,,,
31738.8,1.776,1.786,0,,,,,
31738.86,1.776,1.786,0,,,,,
31738.91,1.776,1.786,0,,,,,
31738.96,1.776,1.786,0,,,,,
31739.02,1.776,1.788,0,,,,,
31739.07,1.776,1.788,0,,,,,
31739.12,1.776,1.788,0,,,,,
31739.18,1.776,1.786,0,,,,,
31739.23,1.776,1.786,0,,,,,
31739.28,1.776,1.786,0,,,,,
31739.34,1.776,1.786,0,,,,,
31739.39,1.776,1.786,0,,,,,
31739.44,1.776,1.79,0,,,,,
31739.5,1.776,1.79,0,,,,,
31739.55,1.776,1.792,0,,,,,
31739.6,1.776,1.792,0,,,,,
31739.66,1.776,1.79,0,,,,,
31739.71,1.776,1.79,0,,,,,
31739.76,1.776,1.792,0,,,,,
31739.82,1.776,1.792,0,,,,,
31739.87,1.776,1.79,0,,,,,
31739.92,1.776,1.79,0,,,,,
31739.98,1.776,1.79,0,,,,,
31740.03,1.776,1.788,0,,,,,
31740.08,1.776,1.788,0,,,,,
31740.14,1.776,1.788,0,,,,,
31740.19,1.776,1.79,0,,,,,
31740.24,1.776,1.792,0,,,,,
31740.3,1.776,1.792,0,,,,,
31740.35,1.776,1.792,0,,,,,
31740.4,1.776,1.79,0,,,,,
31740.46,1.776,1.792,0,,,,,
31740.51,1.776,1.794,0,,,,,
31740.57,1.776,1.792,0,,,,,
31740.62,1.776,1.792,0,,,,,
31740.67,1.776,1.79,0,,,,,
31740.73,1.776,1.788,0,,,,,
31740.78,1.776,1.788,0,,,,,
31740.83,1.776,1.788,0,,,,,
31740.89,1.776,1.788,0,,,,,
31740.94,1.776,1.788,0,,,,,
31740.99,1.776,1.786,0,,,,,
31741.05,1.776,1.786,0,,,,,
31741.1,1.776,1.788,0,,,,,
31741.15,1.776,1.788,0,,,,,
31741.21,1.776,1.788,0,,,,,
31741.26,1.776,1.788,0,,,,,
31741.31,1.776,1.786,0,,,,,
31741.37,1.776,1.786,0,,,,,
31741.42,1.776,1.786,0,,,,,
31741.47,1.776,1.786,0,,,,,
31741.53,1.776,1.786,0,,,,,
31741.58,1.776,1.79,0,,,,,
31741.63,1.776,1.79,0,,,,,
31741.69,1.776,1.79,0,,,,,
31741.74,1.776,1.788,0,,,,,
31741.79,1.776,1.788,0,,,,,
31741.85,1.776,1.788,0,,,,,
31741.9,1.776,1.788,0,,,,,
31741.95,1.776,1.786,0,,,,,
31742.01,1.776,1.786,0,,,,,
31742.06,1.776,1.786,0,,,,,
31742.11,1.776,1.786,0,,,,,
31742.17,1.776,1.786,0,,,,,
31742.22,1.776,1.788,0,,,,,
31742.27,1.776,1.786,0,,,,,
31742.33,1.776,1.788,0,,,,,
31742.38,1.776,1.788,0,,,,,
31742.43,1.776,1.788,0,,,,,
31742.49,1.776,1.788,0,,,,,
31742.54,1.776,1.788,0,,,,,
31742.59,1.776,1.786,0,,,,,
31742.65,1.776,1.786,0,,,,,
31742.7,1.776,1.786,0,,,,,
31742.75,1.776,1.788,0,,,,,
31742.81,1.776,1.788,0,,,,,
31742.86,1.776,1.788,0,,,,,
31742.91,1.776,1.788,0,,,,,
31742.97,1.776,1.786,0,,,,,
31743.02,1.776,1.786,0,,,,,
31743.07,1.776,1.788,0,,,,,
31743.13,1.776,1.792,0,,,,,
31743.18,1.776,1.792,0,,,,,
31743.23,1.776,1.792,0,,,,,
31743.29,1.776,1.79,0,,,,,
31743.34,1.776,1.788,0,,,,,
31743.39,1.776,1.79,0,,,,,
31743.45,1.776,1.79,0,,,,,
31743.5,1.776,1.79,0,,,,,
31743.55,1.776,1.788,0,,,,,
31743.61,1.776,1.788,0,,,,,
31743.66,1.776,1.788,0,,,,,
31743.71,1.776,1.79,0,,,,,
31743.77,1.776,1.788,0,,,,,
31743.82,1.776,1.788,0,,,,,
31743.87,1.776,1.788,0,,,,,
31743.93,1.776,1.788,0,,,,,
31743.98,1.776,1.786,0,,,,,
31744.03,1.776,1.786,0,,,,,
31744.09,1.776,1.784,0,,,,,
31744.14,1.776,1.784,0,,,,,
31744.19,1.776,1.784,0,,,,,
31744.25,1.776,1.784,0,,,,,
31744.3,1.776,1.782,0,,,,,
31744.35,1.776,1.784,0,,,,,
31744.41,1.776,1.784,0,,,,,
31744.46,1.776,1.784,0,,,,,
31744.51,1.776,1.784,0,,,,,
31744.57,1.776,1.782,0,,,,,
31744.62,1.776,1.782,0,,,,,
31744.67,1.776,1.782,0,,,,,
31744.73,1.776,1.782,0,,,,,
31744.78,1.776,1.78,0,,,,,
31744.83,1.776,1.78,0,,,,,
31744.89,1.776,1.78,0,,,,,
31744.94,1.776,1.78,0,,,,,
31744.99,1.776,1.78,0,,,,,
31745.05,1.776,1.782,0,,,,,
31745.1,1.776,1.782,0,,,,,
31745.15,1.776,1.782,0,,,,,
31745.21,1.776,1.782,0,,,,,
31745.26,1.776,1.782,0,,,,,
31745.31,1.776,1.782,0,,,,,
31745.37,1.776,1.782,0,,,,,
31745.42,1.776,1.782,0,,,,,
31745.47,1.776,1.78,0,,,,,
31745.53,1.776,1.78,0,,,,,
31745.58,1.776,1.78,0,,,,,
31745.63,1.776,1.78,0,,,,,
31745.69,1.776,1.782,0,,,,,
31745.74,1.776,1.784,0,,,,,
31745.79,1.776,1.784,0,,,,,
31745.85,1.776,1.786,0,,,,,
31745.9,1.776,1.786,0,,,,,
31745.95,1.776,1.786,0,,,,,
31746.01,1.776,1.786,0,,,,,
31746.06,1.776,1.788,0,,,,,
31746.11,1.776,1.788,0,,,,,
31746.17,1.776,1.788,0,,,,,
31746.22,1.776,1.786,0,,,,,
31746.27,1.776,1.786,0,,,,,
31746.33,1.776,1.788,0,,,,,
31746.38,1.776,1.79,0,,,,,
31746.43,1.776,1.788,0,,,,,
31746.49,1.776,1.788,0,,,,,
31746.54,1.776,1.788,0,,,,,
31746.59,1.776,1.788,0,,,,,
31746.65,1.776,1.788,0,,,,,
31746.7,1.776,1.788,0,,,,,
31746.75,1.776,1.788,0,,,,,
31746.81,1.776,1.788,0,,,,,
31746.86,1.776,1.79,0,,,,,
31746.91,1.776,1.792,0,,,,,
31746.97,1.776,1.794,0,,,,,
31747.02,1.776,1.798,0,,,,,
31747.07,1.776,1.796,0,,,,,
31747.13,1.776,1.794,0,,,,,
31747.18,1.776,1.796,0,,,,,
31747.23,1.776,1.796,0,,,,,
31747.29,1.776,1.798,0,,,,,
