timestamp,baseline,pressure,edge,,,,,
29797.36,2.088,2.116,0,,,,,
29797.42,2.088,2.116,0,,,,,
29797.47,2.088,2.116,0,,,,,
29797.52,2.088,2.116,0,,,,,
29797.58,2.088,2.116,0,,,,,
29797.63,2.088,2.114,0,,,,,
29797.68,2.088,2.114,0,,,,,
29797.74,2.088,2.114,0,,,,,
29797.79,2.088,2.112,0,,,,,
29797.84,2.088,2.112,0,,,,,
29797.9,2.088,2.112,0,,,,,
29797.95,2.088,2.112,0,,,,,
29798,2.088,2.112,0,,,,,
29798.06,2.088,2.112,0,,,,,
29798.11,2.088,2.112,0,,,,,
29798.16,2.088,2.112,0,,,,,
29798.22,2.088,2.112,0,,,,,
29798.27,2.088,2.112,0,,,,,
29798.32,2.088,2.11,0,,,,,
29798.38,2.088,2.11,0,,,,,
29798.43,2.088,2.108,0,,,,,
29798.48,2.088,2.106,0,,,,,
29798.54,2.088,2.104,0,,,,,
29798.59,2.088,2.1,0,,,,,
29798.64,2.088,2.094,0,,,,,
29798.7,2.088,2.086,0,,,,,
29798.75,2.086,2.076,0,,,,,
29798.8,2.076,2.064,0,,,,,
29798.86,2.064,2.052,0,,,,,
29798.91,2.052,2.042,0,,,,,
29798.96,2.042,2.03,0,,,,,
29799.02,2.03,2.018,0,,,,,
29799.07,2.018,2,0,,,,,
29799.12,2,1.982,0,,,,,
29799.18,1.982,1.97,0,,,,,
29799.23,1.97,1.97,0,,,,,
29799.28,1.97,1.972,0,,,,,
29799.34,1.97,1.972,0,,,,,
29799.39,1.97,1.972,0,,,,,
29799.44,1.97,1.97,0,,,,,
29799.5,1.97,1.972,0,,,,,
29799.55,1.97,1.974,0,,,,,
29799.6,1.97,1.976,0,,,,,
29799.66,1.97,1.976,0,,,,,
29799.71,1.97,1.978,0,,,,,
29799.76,1.97,1.98,0,,,,,
29799.82,1.97,1.98,0,,,,,
29799.87,1.97,1.982,0,,,,,
29799.92,1.97,1.984,0,,,,,
29799.98,1.97,1.986,0,,,,,
29800.03,1.97,1.988,0,,,,,
29800.08,1.97,1.988,0,,,,,
29800.14,1.97,1.988,0,,,,,
29800.19,1.97,1.99,0,,,,,
29800.24,1.97,1.99,0,,,,,
29800.3,1.97,1.99,0,,,,,
29800.35,1.97,1.99,0,,,,,
29800.4,1.97,1.992,0,,,,,
29800.46,1.97,1.994,0,,,,,
29800.51,1.97,1.996,0,,,,,
29800.56,1.97,1.998,0,,,,,
29800.62,1.97,1.998,0,,,,,
29800.67,1.97,1.996,0,,,,,
29800.72,1.97,1.994,0,,,,,
29800.78,1.97,1.994,0,,,,,
29800.83,1.97,1.994,0,,,,,
29800.88,1.97,1.994,0,,,,,
29800.94,1.97,1.992,0,,,,,
29800.99,1.97,1.992,0,,,,,
29801.04,1.97,1.992,0,,,,,
29801.1,1.97,1.99,0,,,,,
29801.16,1.99,1.99,0,,,,,
29801.21,1.99,1.992,0,,,,,
29801.26,1.99,1.992,0,,,,,
29801.32,1.99,1.992,0,,,,,
29801.37,1.99,1.992,0,,,,,
29801.42,1.99,1.992,0,,,,,
29801.48,1.99,1.992,0,,,,,
29801.54,1.99,1.992,0,,,,,
29801.59,1.992,1.992,0,,,,,
29801.65,1.992,1.99,0,,,,,
29801.7,1.99,1.99,0,,,,,
29801.75,1.99,1.99,0,,,,,
29801.81,1.99,1.99,0,,,,,
29801.86,1.99,1.99,0,,,,,
29801.91,1.99,1.99,0,,,,,
29801.97,1.99,1.99,0,,,,,
29802.02,1.99,1.99,0,,,,,
29802.07,1.99,1.99,0,,,,,
29802.13,1.99,1.988,0,,,,,
29802.18,1.988,1.988,0,,,,,
29802.23,1.988,1.988,0,,,,,
29802.29,1.988,1.988,0,,,,,
29802.34,1.988,1.988,0,,,,,
29802.4,1.988,1.99,0,,,,,
29802.45,1.988,1.99,0,,,,,
29802.5,1.988,1.99,0,,,,,
29802.56,1.988,1.99,0,,,,,
29802.61,1.99,1.99,0,,,,,
29802.66,1.99,1.994,0,,,,,
29802.72,1.99,1.994,0,,,,,
29802.77,1.99,1.996,0,,,,,
29802.82,1.99,2,0,,,,,
29802.88,1.99,2.004,0,,,,,
29802.93,2.004,2.004,0,,,,,
29802.98,2.004,2.008,0,,,,,
29803.04,2.004,2.01,0,,,,,
29803.09,2.004,2.012,0,,,,,
29803.14,2.004,2.016,0,,,,,
29803.2,2.004,2.022,0,,,,,
29803.25,2.004,2.024,0,,,,,
29803.3,2.004,2.026,0,,,,,
29803.36,2.004,2.028,0,,,,,
29803.41,2.004,2.028,0,,,,,
29803.46,2.004,2.03,0,,,,,
29803.52,2.004,2.03,0,,,,,
29803.57,2.004,2.026,0,,,,,
29803.62,2.004,2.026,0,,,,,
29803.68,2.004,2.026,0,,,,,
29803.73,2.004,2.028,0,,,,,
29803.78,2.004,2.026,0,,,,,
29803.84,2.004,2.022,0,,,,,
29803.89,2.004,2.018,0,,,,,
29803.94,2.004,2.014,0,,,,,
29804,2.004,2.008,0,,,,,
29804.05,2.004,2.008,0,,,,,
29804.1,2.004,2.004,0,,,,,
29804.16,2.004,2.006,0,,,,,
29804.21,2.004,2.006,0,,,,,
29804.26,2.004,2.008,0,,,,,
29804.32,2.004,2.016,0,,,,,
29804.37,2.004,2.02,0,,,,,
29804.42,2.004,2.024,0,,,,,
29804.48,2.004,2.026,0,,,,,
29804.53,2.004,2.032,0,,,,,
29804.58,2.004,2.034,0,,,,,
29804.64,2.004,2.034,0,,,,,
29804.69,2.004,2.034,0,,,,,
29804.74,2.004,2.03,0,,,,,
29804.8,2.004,2.03,0,,,,,
29804.85,2.004,2.026,0,,,,,
29804.9,2.004,2.024,0,,,,,
29804.96,2.004,2.022,0,,,,,
29805.01,2.004,2.02,0,,,,,
29805.06,2.004,2.02,0,,,,,
29805.12,2.004,2.02,0,,,,,
29805.17,2.004,2.02,0,,,,,
29805.22,2.004,2.02,0,,,,,
29805.28,2.004,2.02,0,,,,,
29805.33,2.004,2.022,0,,,,,
29805.38,2.004,2.028,0,,,,,
29805.44,2.004,2.034,0,,,,,
29805.49,2.004,2.038,0,,,,,
29805.54,2.004,2.042,0,,,,,
29805.6,2.004,2.044,0,,,,,
29805.65,2.004,2.044,0,,,,,
29805.7,2.004,2.046,0,,,,,
29805.76,2.004,2.048,0,,,,,
29805.81,2.004,2.044,0,,,,,
29805.86,2.004,2.04,0,,,,,
29805.92,2.004,2.036,0,,,,,
29805.97,2.004,2.03,0,,,,,
29806.02,2.004,2.026,0,,,,,
29806.08,2.004,2.022,0,,,,,
29806.13,2.004,2.02,0,,,,,
29806.18,2.004,2.02,0,,,,,
29806.24,2.004,2.018,0,,,,,
29806.29,2.004,2.014,0,,,,,
29806.34,2.004,2.012,0,,,,,
29806.4,2.004,2.014,0,,,,,
29806.45,2.004,2.018,0,,,,,
29806.5,2.004,2.024,0,,,,,
29806.56,2.004,2.03,0,,,,,
29806.61,2.004,2.042,0,,,,,
29806.66,2.004,2.052,0,,,,,
29806.72,2.004,2.062,0,,,,,
29806.77,2.004,2.068,0,,,,,
29806.82,2.004,2.07,0,,,,,
29806.88,2.004,2.072,0,,,,,
29806.93,2.004,2.068,0,,,,,
29806.98,2.004,2.06,0,,,,,
29807.04,2.004,2.05,0,,,,,
29807.09,2.004,2.04,0,,,,,
29807.14,2.004,2.034,0,,,,,
29807.2,2.004,2.03,0,,,,,
29807.25,2.004,2.024,0,,,,,
29807.3,2.004,2.02,0,,,,,
29807.36,2.004,2.014,0,,,,,
29807.41,2.004,2.012,0,,,,,
29807.46,2.004,2.006,0,,,,,
29807.52,2.004,2.004,0,,,,,
29807.57,2.004,2.002,0,,,,,
29807.62,2.002,2,0,,,,,
29807.68,2,2,0,,,,,
29807.73,2,2,0,,,,,
29807.78,2,2.002,0,,,,,
29807.84,2,2.004,0,,,,,
29807.89,2,2.008,0,,,,,
29807.94,2,2.014,0,,,,,
29808,2,2.022,0,,,,,
29808.05,2,2.032,0,,,,,
29808.11,2,2.038,0,,,,,
29808.16,2,2.042,0,,,,,
29808.21,2,2.044,0,,,,,
29808.27,2,2.048,0,,,,,
29808.32,2,2.05,0,,,,,
29808.37,2,2.054,0,,,,,
29808.43,2,2.058,0,,,,,
29808.48,2,2.064,0,,,,,
29808.53,2,2.066,0,,,,,
29808.59,2,2.06,0,,,,,
29808.64,2,2.054,0,,,,,
29808.69,2,2.05,0,,,,,
29808.75,2,2.044,0,,,,,
29808.8,2,2.036,0,,,,,
29808.85,2,2.03,0,,,,,
29808.91,2,2.024,0,,,,,
29808.96,2,2.018,0,,,,,
29809.01,2,2.016,0,,,,,
29809.07,2,2.012,0,,,,,
29809.12,2,2.008,0,,,,,
29809.17,2,2.008,0,,,,,
29809.23,2,2.006,0,,,,,
29809.28,2,2.006,0,,,,,
29809.33,2,2.006,0,,,,,
29809.39,2,2.006,0,,,,,
29809.44,2,2.006,0,,,,,
29809.49,2,2.008,0,,,,,
29809.55,2,2.014,0,,,,,
29809.6,2,2.022,0,,,,,
29809.65,2,2.03,0,,,,,
29809.71,2,2.038,0,,,,,
29809.76,2,2.044,0,,,,,
29809.81,2,2.054,0,,,,,
29809.87,2,2.058,0,,,,,
29809.92,2,2.058,0,,,,,
29809.97,2,2.062,0,,,,,
29810.03,2,2.064,0,,,,,
29810.08,2,2.064,0,,,,,
29810.13,2,2.064,0,,,,,
29810.19,2,2.06,0,,,,,
29810.24,2,2.052,0,,,,,
29810.29,2,2.044,0,,,,,
29810.35,2,2.036,0,,,,,
29810.4,2,2.03,0,,,,,
29810.45,2,2.024,0,,,,,
29810.51,2,2.02,0,,,,,
29810.56,2,2.016,0,,,,,
29810.61,2,2.012,0,,,,,
29810.67,2,2.01,0,,,,,
29810.72,2,2.008,0,,,,,
29810.77,2,2.006,0,,,,,
29810.83,2,2.004,0,,,,,
29810.88,2,2.002,0,,,,,
29810.93,2,2,0,,,,,
29810.99,2,1.998,0,,,,,
29811.04,1.998,1.998,0,,,,,
29811.09,1.998,1.996,0,,,,,
29811.15,1.996,1.996,0,,,,,
29811.2,1.996,1.994,0,,,,,
29811.25,1.994,1.994,0,,,,,
29811.31,1.994,1.994,0,,,,,
29811.36,1.994,1.994,0,,,,,
29811.41,1.994,1.996,0,,,,,
29811.47,1.994,1.994,0,,,,,
29811.52,1.994,1.996,0,,,,,
29811.57,1.994,1.996,0,,,,,
29811.63,1.994,1.996,0,,,,,
29811.68,1.994,1.992,0,,,,,
29811.73,1.992,1.992,0,,,,,
29811.79,1.992,1.994,0,,,,,
29811.84,1.992,1.994,0,,,,,
29811.89,1.992,1.992,0,,,,,
29811.95,1.992,1.99,0,,,,,
29812,1.99,1.99,0,,,,,
29812.05,1.99,1.992,0,,,,,
29812.11,1.99,1.99,0,,,,,
29812.16,1.99,1.988,0,,,,,
29812.21,1.988,1.988,0,,,,,
29812.27,1.988,1.988,0,,,,,
29812.32,1.988,1.992,0,,,,,
29812.37,1.988,1.994,0,,,,,
29812.43,1.988,1.996,0,,,,,
29812.48,1.988,2,0,,,,,
29812.53,1.988,2.008,0,,,,,
29812.59,1.988,2.022,0,,,,,
29812.64,1.988,2.038,0,,,,,
29812.69,1.988,2.048,0,,,,,
29812.75,1.988,2.052,0,,,,,
29812.8,1.988,2.046,0,,,,,
29812.85,1.988,2.042,0,,,,,
29812.91,1.988,2.036,0,,,,,
29812.96,1.988,2.03,0,,,,,
29813.01,1.988,2.024,0,,,,,
29813.07,1.988,2.018,0,,,,,
29813.12,1.988,2.012,0,,,,,
29813.17,1.988,2.008,0,,,,,
29813.23,1.988,2.004,0,,,,,
29813.28,1.988,2,0,,,,,
29813.33,1.988,1.998,0,,,,,
29813.39,1.988,1.996,0,,,,,
29813.44,1.988,1.996,0,,,,,
29813.49,1.988,1.996,0,,,,,
29813.55,1.988,1.996,0,,,,,
29813.6,1.988,1.996,0,,,,,
29813.65,1.988,1.996,0,,,,,
29813.71,1.988,1.996,0,,,,,
29813.76,1.988,1.998,0,,,,,
29813.81,1.988,1.998,0,,,,,
29813.87,1.988,2.002,0,,,,,
29813.92,1.988,2.002,0,,,,,
29813.97,1.988,2.004,0,,,,,
29814.03,1.988,2.004,0,,,,,
29814.08,1.988,2.006,0,,,,,
29814.13,1.988,2.006,0,,,,,
29814.19,1.988,2.008,0,,,,,
29814.24,1.988,2.008,0,,,,,
29814.29,1.988,2.01,0,,,,,
29814.35,1.988,2.01,0,,,,,
29814.4,1.988,2.012,0,,,,,
29814.45,1.988,2.016,0,,,,,
